,Ward/VillageTract,tot_pop,male_pop,female_pop,Township,Longitude,Latitude
5478,ThetKeiKyun(VT),3496.0,1631.0,1865.0,Zalun Township,95.63867514474052,17.410695757184715
5479,KyonEi(VT),2142.0,994.0,1148.0,Zalun Township,95.60566965738934,17.3992150624593
5480,KyonMat(VT),1082.0,525.0,557.0,Zalun Township,95.43931961059572,17.50750827789308
5481,KyonKyaik(VT),939.0,450.0,489.0,Zalun Township,95.42822265625,17.5182094573975
5482,InnTaYaw(VT),2028.0,961.0,1067.0,Zalun Township,95.42127697284405,17.471969897930457
5483,PyinMaKone(West)(VT),1340.0,638.0,702.0,Zalun Township,95.43989658355713,17.467738628387448
5484,HneMaukTan(VT),1732.0,817.0,915.0,Zalun Township,95.45943832397462,17.500963926315315
5485,PyinMaKone(East)(VT),1151.0,544.0,607.0,Zalun Township,95.44776153564453,17.47352663675947
5486,SunPi(VT),992.0,478.0,514.0,Zalun Township,95.45277531941734,17.462688128153484
5487,KaTawtKaYat(VT),1802.0,866.0,936.0,Zalun Township,95.47236887613934,17.478543599446635
5488,LayTu(West)(VT),579.0,278.0,301.0,Zalun Township,95.49813461303711,17.484515190124498
5489,YinTaikKone(VT),1713.0,809.0,904.0,Zalun Township,95.54638544718425,17.49658648173015
5490,YinTaikKone(VT),1713.0,809.0,904.0,Myanaung Township,95.32980346679685,17.9383659362793
5491,YinTaikKone(VT),1463.0,696.0,767.0,Zalun Township,95.54638544718425,17.49658648173015
5492,YinTaikKone(VT),1463.0,696.0,767.0,Myanaung Township,95.32980346679685,17.9383659362793
5493,TheaKone(VT),1127.0,522.0,605.0,Zalun Township,95.5427589416504,17.5080509185791
5494,KyonTaNaw(South)(VT),735.0,352.0,383.0,Zalun Township,95.5354487101237,17.500773111979168
5495,KyonKhaMun(VT),611.0,290.0,321.0,Zalun Township,95.52531433105467,17.50058301289877
5496,KyonTaNaw(North)(VT),513.0,242.0,271.0,Zalun Township,95.531982421875,17.514109611511202
5497,OeBo(VT),1743.0,840.0,903.0,Zalun Township,95.53575134277344,17.524867534637448
5498,OeBo(VT),1743.0,840.0,903.0,Myanaung Township,95.38292040143695,18.195744378226156
5499,OeBo(VT),3657.0,1710.0,1947.0,Zalun Township,95.53575134277344,17.524867534637448
5500,OeBo(VT),3657.0,1710.0,1947.0,Myanaung Township,95.38292040143695,18.195744378226156
5501,DauntGyi(VT),2207.0,1021.0,1186.0,Zalun Township,95.5332870483398,17.5365009307861
5502,DauntGyi(VT),2207.0,1021.0,1186.0,Lemyethna Township,95.14436340332033,17.574387073516824
5503,DauntGyi(VT),3211.0,1497.0,1714.0,Zalun Township,95.5332870483398,17.5365009307861
